A,B,C,D
"('1', 313)","('1', 50)","('1', 300)","('1', 1.5)"
"('1', 313)","('1', 50)","('1', 300)","('2', 2.0)"
"('1', 313)","('1', 50)","('1', 300)","('3', 2.5)"
"('1', 313)","('1', 50)","('2', 400)","('1', 1.5)"
"('1', 313)","('1', 50)","('2', 400)","('2', 2.0)"
"('1', 313)","('1', 50)","('2', 400)","('3', 2.5)"
"('1', 313)","('1', 50)","('3', 500)","('1', 1.5)"
"('1', 313)","('1', 50)","('3', 500)","('2', 2.0)"
"('1', 313)","('1', 50)","('3', 500)","('3', 2.5)"
"('1', 313)","('2', 65)","('1', 300)","('1', 1.5)"
"('1', 313)","('2', 65)","('1', 300)","('2', 2.0)"
"('1', 313)","('2', 65)","('1', 300)","('3', 2.5)"
"('1', 313)","('2', 65)","('2', 400)","('1', 1.5)"
"('1', 313)","('2', 65)","('2', 400)","('2', 2.0)"
"('1', 313)","('2', 65)","('2', 400)","('3', 2.5)"
"('1', 313)","('2', 65)","('3', 500)","('1', 1.5)"
"('1', 313)","('2', 65)","('3', 500)","('2', 2.0)"
"('1', 313)","('2', 65)","('3', 500)","('3', 2.5)"
"('1', 313)","('3', 85)","('1', 300)","('1', 1.5)"
"('1', 313)","('3', 85)","('1', 300)","('2', 2.0)"
"('1', 313)","('3', 85)","('1', 300)","('3', 2.5)"
"('1', 313)","('3', 85)","('2', 400)","('1', 1.5)"
"('1', 313)","('3', 85)","('2', 400)","('2', 2.0)"
"('1', 313)","('3', 85)","('2', 400)","('3', 2.5)"
"('1', 313)","('3', 85)","('3', 500)","('1', 1.5)"
"('1', 313)","('3', 85)","('3', 500)","('2', 2.0)"
"('1', 313)","('3', 85)","('3', 500)","('3', 2.5)"
"('2', 323)","('1', 50)","('1', 300)","('1', 1.5)"
"('2', 323)","('1', 50)","('1', 300)","('2', 2.0)"
"('2', 323)","('1', 50)","('1', 300)","('3', 2.5)"
"('2', 323)","('1', 50)","('2', 400)","('1', 1.5)"
"('2', 323)","('1', 50)","('2', 400)","('2', 2.0)"
"('2', 323)","('1', 50)","('2', 400)","('3', 2.5)"
"('2', 323)","('1', 50)","('3', 500)","('1', 1.5)"
"('2', 323)","('1', 50)","('3', 500)","('2', 2.0)"
"('2', 323)","('1', 50)","('3', 500)","('3', 2.5)"
"('2', 323)","('2', 65)","('1', 300)","('1', 1.5)"
"('2', 323)","('2', 65)","('1', 300)","('2', 2.0)"
"('2', 323)","('2', 65)","('1', 300)","('3', 2.5)"
"('2', 323)","('2', 65)","('2', 400)","('1', 1.5)"
"('2', 323)","('2', 65)","('2', 400)","('2', 2.0)"
"('2', 323)","('2', 65)","('2', 400)","('3', 2.5)"
"('2', 323)","('2', 65)","('3', 500)","('1', 1.5)"
"('2', 323)","('2', 65)","('3', 500)","('2', 2.0)"
"('2', 323)","('2', 65)","('3', 500)","('3', 2.5)"
"('2', 323)","('3', 85)","('1', 300)","('1', 1.5)"
"('2', 323)","('3', 85)","('1', 300)","('2', 2.0)"
"('2', 323)","('3', 85)","('1', 300)","('3', 2.5)"
"('2', 323)","('3', 85)","('2', 400)","('1', 1.5)"
"('2', 323)","('3', 85)","('2', 400)","('2', 2.0)"
"('2', 323)","('3', 85)","('2', 400)","('3', 2.5)"
"('2', 323)","('3', 85)","('3', 500)","('1', 1.5)"
"('2', 323)","('3', 85)","('3', 500)","('2', 2.0)"
"('2', 323)","('3', 85)","('3', 500)","('3', 2.5)"
"('3', 333)","('1', 50)","('1', 300)","('1', 1.5)"
"('3', 333)","('1', 50)","('1', 300)","('2', 2.0)"
"('3', 333)","('1', 50)","('1', 300)","('3', 2.5)"
"('3', 333)","('1', 50)","('2', 400)","('1', 1.5)"
"('3', 333)","('1', 50)","('2', 400)","('2', 2.0)"
"('3', 333)","('1', 50)","('2', 400)","('3', 2.5)"
"('3', 333)","('1', 50)","('3', 500)","('1', 1.5)"
"('3', 333)","('1', 50)","('3', 500)","('2', 2.0)"
"('3', 333)","('1', 50)","('3', 500)","('3', 2.5)"
"('3', 333)","('2', 65)","('1', 300)","('1', 1.5)"
"('3', 333)","('2', 65)","('1', 300)","('2', 2.0)"
"('3', 333)","('2', 65)","('1', 300)","('3', 2.5)"
"('3', 333)","('2', 65)","('2', 400)","('1', 1.5)"
"('3', 333)","('2', 65)","('2', 400)","('2', 2.0)"
"('3', 333)","('2', 65)","('2', 400)","('3', 2.5)"
"('3', 333)","('2', 65)","('3', 500)","('1', 1.5)"
"('3', 333)","('2', 65)","('3', 500)","('2', 2.0)"
"('3', 333)","('2', 65)","('3', 500)","('3', 2.5)"
"('3', 333)","('3', 85)","('1', 300)","('1', 1.5)"
"('3', 333)","('3', 85)","('1', 300)","('2', 2.0)"
"('3', 333)","('3', 85)","('1', 300)","('3', 2.5)"
"('3', 333)","('3', 85)","('2', 400)","('1', 1.5)"
"('3', 333)","('3', 85)","('2', 400)","('2', 2.0)"
"('3', 333)","('3', 85)","('2', 400)","('3', 2.5)"
"('3', 333)","('3', 85)","('3', 500)","('1', 1.5)"
"('3', 333)","('3', 85)","('3', 500)","('2', 2.0)"
"('3', 333)","('3', 85)","('3', 500)","('3', 2.5)"
"('4', 338)","('1', 50)","('1', 300)","('1', 1.5)"
"('4', 338)","('1', 50)","('1', 300)","('2', 2.0)"
"('4', 338)","('1', 50)","('1', 300)","('3', 2.5)"
"('4', 338)","('1', 50)","('2', 400)","('1', 1.5)"
"('4', 338)","('1', 50)","('2', 400)","('2', 2.0)"
"('4', 338)","('1', 50)","('2', 400)","('3', 2.5)"
"('4', 338)","('1', 50)","('3', 500)","('1', 1.5)"
"('4', 338)","('1', 50)","('3', 500)","('2', 2.0)"
"('4', 338)","('1', 50)","('3', 500)","('3', 2.5)"
"('4', 338)","('2', 65)","('1', 300)","('1', 1.5)"
"('4', 338)","('2', 65)","('1', 300)","('2', 2.0)"
"('4', 338)","('2', 65)","('1', 300)","('3', 2.5)"
"('4', 338)","('2', 65)","('2', 400)","('1', 1.5)"
"('4', 338)","('2', 65)","('2', 400)","('2', 2.0)"
"('4', 338)","('2', 65)","('2', 400)","('3', 2.5)"
"('4', 338)","('2', 65)","('3', 500)","('1', 1.5)"
"('4', 338)","('2', 65)","('3', 500)","('2', 2.0)"
"('4', 338)","('2', 65)","('3', 500)","('3', 2.5)"
"('4', 338)","('3', 85)","('1', 300)","('1', 1.5)"
"('4', 338)","('3', 85)","('1', 300)","('2', 2.0)"
"('4', 338)","('3', 85)","('1', 300)","('3', 2.5)"
"('4', 338)","('3', 85)","('2', 400)","('1', 1.5)"
"('4', 338)","('3', 85)","('2', 400)","('2', 2.0)"
"('4', 338)","('3', 85)","('2', 400)","('3', 2.5)"
"('4', 338)","('3', 85)","('3', 500)","('1', 1.5)"
"('4', 338)","('3', 85)","('3', 500)","('2', 2.0)"
"('4', 338)","('3', 85)","('3', 500)","('3', 2.5)"
"('5', 343)","('1', 50)","('1', 300)","('1', 1.5)"
"('5', 343)","('1', 50)","('1', 300)","('2', 2.0)"
"('5', 343)","('1', 50)","('1', 300)","('3', 2.5)"
"('5', 343)","('1', 50)","('2', 400)","('1', 1.5)"
"('5', 343)","('1', 50)","('2', 400)","('2', 2.0)"
"('5', 343)","('1', 50)","('2', 400)","('3', 2.5)"
"('5', 343)","('1', 50)","('3', 500)","('1', 1.5)"
"('5', 343)","('1', 50)","('3', 500)","('2', 2.0)"
"('5', 343)","('1', 50)","('3', 500)","('3', 2.5)"
"('5', 343)","('2', 65)","('1', 300)","('1', 1.5)"
"('5', 343)","('2', 65)","('1', 300)","('2', 2.0)"
"('5', 343)","('2', 65)","('1', 300)","('3', 2.5)"
"('5', 343)","('2', 65)","('2', 400)","('1', 1.5)"
"('5', 343)","('2', 65)","('2', 400)","('2', 2.0)"
"('5', 343)","('2', 65)","('2', 400)","('3', 2.5)"
"('5', 343)","('2', 65)","('3', 500)","('1', 1.5)"
"('5', 343)","('2', 65)","('3', 500)","('2', 2.0)"
"('5', 343)","('2', 65)","('3', 500)","('3', 2.5)"
"('5', 343)","('3', 85)","('1', 300)","('1', 1.5)"
"('5', 343)","('3', 85)","('1', 300)","('2', 2.0)"
"('5', 343)","('3', 85)","('1', 300)","('3', 2.5)"
"('5', 343)","('3', 85)","('2', 400)","('1', 1.5)"
"('5', 343)","('3', 85)","('2', 400)","('2', 2.0)"
"('5', 343)","('3', 85)","('2', 400)","('3', 2.5)"
"('5', 343)","('3', 85)","('3', 500)","('1', 1.5)"
"('5', 343)","('3', 85)","('3', 500)","('2', 2.0)"
"('5', 343)","('3', 85)","('3', 500)","('3', 2.5)"
"('6', 353)","('1', 50)","('1', 300)","('1', 1.5)"
"('6', 353)","('1', 50)","('1', 300)","('2', 2.0)"
"('6', 353)","('1', 50)","('1', 300)","('3', 2.5)"
"('6', 353)","('1', 50)","('2', 400)","('1', 1.5)"
"('6', 353)","('1', 50)","('2', 400)","('2', 2.0)"
"('6', 353)","('1', 50)","('2', 400)","('3', 2.5)"
"('6', 353)","('1', 50)","('3', 500)","('1', 1.5)"
"('6', 353)","('1', 50)","('3', 500)","('2', 2.0)"
"('6', 353)","('1', 50)","('3', 500)","('3', 2.5)"
"('6', 353)","('2', 65)","('1', 300)","('1', 1.5)"
"('6', 353)","('2', 65)","('1', 300)","('2', 2.0)"
"('6', 353)","('2', 65)","('1', 300)","('3', 2.5)"
"('6', 353)","('2', 65)","('2', 400)","('1', 1.5)"
"('6', 353)","('2', 65)","('2', 400)","('2', 2.0)"
"('6', 353)","('2', 65)","('2', 400)","('3', 2.5)"
"('6', 353)","('2', 65)","('3', 500)","('1', 1.5)"
"('6', 353)","('2', 65)","('3', 500)","('2', 2.0)"
"('6', 353)","('2', 65)","('3', 500)","('3', 2.5)"
"('6', 353)","('3', 85)","('1', 300)","('1', 1.5)"
"('6', 353)","('3', 85)","('1', 300)","('2', 2.0)"
"('6', 353)","('3', 85)","('1', 300)","('3', 2.5)"
"('6', 353)","('3', 85)","('2', 400)","('1', 1.5)"
"('6', 353)","('3', 85)","('2', 400)","('2', 2.0)"
"('6', 353)","('3', 85)","('2', 400)","('3', 2.5)"
"('6', 353)","('3', 85)","('3', 500)","('1', 1.5)"
"('6', 353)","('3', 85)","('3', 500)","('2', 2.0)"
"('6', 353)","('3', 85)","('3', 500)","('3', 2.5)"
