A,B,C,D,Observed values
"('1', 313)","('1', 50)","('1', 300)","('1', 1.5)",-1.7289062143504914
"('1', 313)","('1', 50)","('1', 300)","('2', 2.0)",-1.7289062143504914
"('1', 313)","('1', 50)","('1', 300)","('3', 2.5)",-1.7289062143504914
"('1', 313)","('1', 50)","('2', 400)","('1', 1.5)",-1.7289062143504914
"('1', 313)","('1', 50)","('2', 400)","('2', 2.0)",-1.7289062143504914
"('1', 313)","('1', 50)","('2', 400)","('3', 2.5)",-1.7289062143504914
"('1', 313)","('1', 50)","('3', 500)","('1', 1.5)",-1.7289062143504914
"('1', 313)","('1', 50)","('3', 500)","('2', 2.0)",-1.7289062143504914
"('1', 313)","('1', 50)","('3', 500)","('3', 2.5)",-1.7289062143504914
"('1', 313)","('2', 65)","('1', 300)","('1', 1.5)",-1.7289062143504914
"('1', 313)","('2', 65)","('1', 300)","('2', 2.0)",-1.7289062143504914
"('1', 313)","('2', 65)","('1', 300)","('3', 2.5)",-1.7289062143504914
"('1', 313)","('2', 65)","('2', 400)","('1', 1.5)",-1.7289062143504914
"('1', 313)","('2', 65)","('2', 400)","('2', 2.0)",-1.7289062143504914
"('1', 313)","('2', 65)","('2', 400)","('3', 2.5)",-1.7289062143504914
"('1', 313)","('2', 65)","('3', 500)","('1', 1.5)",-1.7289062143504914
"('1', 313)","('2', 65)","('3', 500)","('2', 2.0)",-1.7289062143504914
"('1', 313)","('2', 65)","('3', 500)","('3', 2.5)",-1.7289062143504914
"('1', 313)","('3', 85)","('1', 300)","('1', 1.5)",-1.7289062143504914
"('1', 313)","('3', 85)","('1', 300)","('2', 2.0)",-1.7289062143504914
"('1', 313)","('3', 85)","('1', 300)","('3', 2.5)",-1.7289062143504914
"('1', 313)","('3', 85)","('2', 400)","('1', 1.5)",-1.7289062143504914
"('1', 313)","('3', 85)","('2', 400)","('2', 2.0)",-1.7289062143504914
"('1', 313)","('3', 85)","('2', 400)","('3', 2.5)",-1.7289062143504914
"('1', 313)","('3', 85)","('3', 500)","('1', 1.5)",-1.7289062143504914
"('1', 313)","('3', 85)","('3', 500)","('2', 2.0)",-1.7289062143504914
"('1', 313)","('3', 85)","('3', 500)","('3', 2.5)",-1.7289062143504914
"('2', 323)","('1', 50)","('1', 300)","('1', 1.5)",-1.7373100729514075
"('2', 323)","('1', 50)","('1', 300)","('2', 2.0)",-1.7373100729514075
"('2', 323)","('1', 50)","('1', 300)","('3', 2.5)",-1.7373100729514075
"('2', 323)","('1', 50)","('2', 400)","('1', 1.5)",-1.7373100729514075
"('2', 323)","('1', 50)","('2', 400)","('2', 2.0)",-1.7373100729514075
"('2', 323)","('1', 50)","('2', 400)","('3', 2.5)",-1.7373100729514075
"('2', 323)","('1', 50)","('3', 500)","('1', 1.5)",-1.7373100729514075
"('2', 323)","('1', 50)","('3', 500)","('2', 2.0)",-1.7373100729514075
"('2', 323)","('1', 50)","('3', 500)","('3', 2.5)",-1.7373100729514075
"('2', 323)","('2', 65)","('1', 300)","('1', 1.5)",-1.7373100729514075
"('2', 323)","('2', 65)","('1', 300)","('2', 2.0)",-1.7373100729514075
"('2', 323)","('2', 65)","('1', 300)","('3', 2.5)",-1.7373100729514075
"('2', 323)","('2', 65)","('2', 400)","('1', 1.5)",-1.7373100729514075
